Ensembl Gene ID	EntrezGene ID	HGNC symbol
ENSG00000280475		
ENSG00000281660	338599	DUPD1
ENSG00000206783		RNU6-545P
ENSG00000281874		
ENSG00000207477		RNU6-318P
ENSG00000281818	54682	MANSC1
ENSG00000282688	653619	PRAMEF15
ENSG00000281051		RPL23AP66
ENSG00000281234	503693	LOH12CR2
ENSG00000282125		PRAMEF33P
ENSG00000280689	118426	BORCS5
ENSG00000282792	645414	
ENSG00000281168		
ENSG00000280962	80824	DUSP16
ENSG00000280495	51399	TRAPPC4
ENSG00000280495	100500840	TRAPPC4
ENSG00000281671		
ENSG00000281525		
ENSG00000281860		
ENSG00000280774	342900	LEUTX
ENSG00000281677		
ENSG00000281320	9149	DYRK1B
ENSG00000281403	102465974	MIR6719
ENSG00000280682	10525	HYOU1
ENSG00000280548	2091	FBL
ENSG00000280932		PRR13P5
ENSG00000281221	5704	PSMC4
ENSG00000281526	339327	ZNF546
ENSG00000281233		
ENSG00000281601	163131	ZNF780B
ENSG00000281009		
ENSG00000281163		
ENSG00000280967		
ENSG00000280568	284323	ZNF780A
ENSG00000280616	55823	VPS11
ENSG00000280797		
ENSG00000281123	8857	FCGBP
ENSG00000281702	3145	HMBS
ENSG00000281500	2542	SLC37A4
ENSG00000283024	84896	ATAD1
ENSG00000282866	142913	CFL1P1
ENSG00000282825	9811	CTIF
ENSG00000283092		RN7SL78P
ENSG00000283055		
ENSG00000283114		NDUFB11P1
ENSG00000283120		
ENSG00000282467		
ENSG00000282931		
ENSG00000283067		MED6P1
ENSG00000283059	100144748	KLLN
ENSG00000283668		
ENSG00000283094	5728	PTEN
ENSG00000283153	2483	FRG1
ENSG00000282908	120114	FAT3
ENSG00000283080		
ENSG00000282900	100616366	MIR4743
ENSG00000282959	105372107	
ENSG00000283002		
ENSG00000282923		
ENSG00000283062		PGAM1P9
ENSG00000282929		
ENSG00000282928	11184	MAP4K1
ENSG00000282050		IGKV7-3
ENSG00000282699		PGBD4P5
ENSG00000282974	1804	DPP6
ENSG00000282448		IGKV2-4
ENSG00000282801		IGKV1-5
ENSG00000282163		IGKV1-6
ENSG00000282310		IGKV3-7
ENSG00000283113		IGKV1-8
ENSG00000282758		IGKV1-9
ENSG00000282248		IGKV2-10
ENSG00000282823		IGKV3-11
ENSG00000282694		IGKV1-12
ENSG00000282603		IGKV1-13
ENSG00000282251		IGKV2-14
ENSG00000282447		IGKV3-15
ENSG00000282282		IGKV1-16
ENSG00000281978		IGKV1-17
ENSG00000282200		IGKV2-18
ENSG00000282244		IGKV2-19
ENSG00000282402		IGKV3-20
ENSG00000282210		IGKV6-21
ENSG00000282762		IGKV1-22
ENSG00000282093		IGKV2-23
ENSG00000282671		IGKV2-24
ENSG00000282062		IGKV3-25
ENSG00000282622		IGKV2-26
ENSG00000282000		
ENSG00000282666		IGKV1-27
ENSG00000283068	25998	IBTK
ENSG00000282025		IGKV2-28
ENSG00000282635		IGKV2-29
ENSG00000282956	9223	MAGI1
ENSG00000281933		IGKV2-30
ENSG00000282743		IGKV3-31
ENSG00000282571		IGKV1-32
ENSG00000282811		IGKV1-33
ENSG00000282149		IGKV3-34
ENSG00000282157		IGKV1-35
ENSG00000282646		IGKV2-36
ENSG00000282394		IGKV1-37
ENSG00000282387		IGKV2-38
ENSG00000282120		IGKV1-39
ENSG00000282182		IGKV2-40
ENSG00000283115		
ENSG00000282982	105372397	
ENSG00000282986	27335	EIF3K
ENSG00000282867		RNU6-130P
ENSG00000282877		
ENSG00000283085	7162	TPBG
ENSG00000282844	81	ACTN4
ENSG00000282739	115286	SLC25A26
ENSG00000282510		RNU6-787P
ENSG00000282585		RN7SL482P
ENSG00000282976		
ENSG00000282869		
ENSG00000282902	3963	LGALS7B
ENSG00000282902	653499	LGALS7B
ENSG00000283082	3963	LGALS7
ENSG00000283082	653499	LGALS7
ENSG00000283011		RNU6-140P
ENSG00000282992	3960	LGALS4
ENSG00000282243	26018	LRIG1
ENSG00000282853	1891	ECH1
ENSG00000282832		
ENSG00000283077		
ENSG00000282947	3191	HNRNPL
ENSG00000282846		
ENSG00000282895	126432	RINL
ENSG00000283121		
ENSG00000283100	22933	SIRT2
ENSG00000282905	4793	NFKBIB
ENSG00000283099	643669	CCER2
ENSG00000283104	54938	SARS2
ENSG00000282835		
ENSG00000283018	6183	MRPS12
ENSG00000282930		
ENSG00000282954	115290	FBXO17
ENSG00000283021	126433	FBXO27
ENSG00000282901	147968	CAPN12
ENSG00000283102		
ENSG00000282193		
ENSG00000282362		
ENSG00000282654		RN7SL673P
ENSG00000282324		DNM1P28
ENSG00000282509	89837	ULK4P3
ENSG00000282767		
ENSG00000282328		RN7SL469P
ENSG00000282400		DNM1P30
ENSG00000283530	25834	MGAT4C
ENSG00000282316		
ENSG00000282096	26082	
ENSG00000283595		
ENSG00000283264		RNU6-409P
ENSG00000282249		
ENSG00000283007		
ENSG00000282009		RNU6-17P
ENSG00000281198		
ENSG00000282722		
ENSG00000282729		
ENSG00000282971	283299	
ENSG00000282442		
ENSG00000283539	49	ACR
ENSG00000283350	4588	MUC6
ENSG00000282554		
ENSG00000282670		
ENSG00000281118		
ENSG00000282275		RN7SL628P
ENSG00000282207		
ENSG00000280931	120065	OR5P2
ENSG00000280808	120066	OR5P3
ENSG00000282689		ULK4P2
ENSG00000281056		OR5E1P
ENSG00000281563		RNU6-943P
ENSG00000283287		
ENSG00000280899	390093	OR10A6
ENSG00000283252		
ENSG00000283640		
ENSG00000281680	26496	OR10A3
ENSG00000282177		
ENSG00000282701		DNM1P50
ENSG00000281166	338322	NLRP10
ENSG00000283658		RPL23AP82
ENSG00000283651		
ENSG00000282773	728047	GOLGA8Q
ENSG00000283163		
ENSG00000283158	4586	MUC5AC
ENSG00000283508		MLLT10P2
ENSG00000283243		
ENSG00000280606	8665	EIF3F
ENSG00000283127		
ENSG00000282547		RN7SL796P
ENSG00000283593		TUBB7P
ENSG00000281960		
ENSG00000283700		RNA5SP174
ENSG00000282109		
ENSG00000283581		RNA5SP175
ENSG00000283181		DUX4L9
ENSG00000282068		
ENSG00000283449		RARRES2P4
ENSG00000282629		RN7SL286P
ENSG00000283363		DUX4L8
ENSG00000283660		RPL23AP84
ENSG00000283223		
ENSG00000283552		
ENSG00000281013	4700	NDUFA6
ENSG00000283404		
ENSG00000283309		
ENSG00000283306		
ENSG00000283190		
ENSG00000283161		
ENSG00000283325		
ENSG00000283407		
ENSG00000283177		
ENSG00000283606		
ENSG00000283610		
ENSG00000281931	6447	SCG5
ENSG00000283388		
ENSG00000281750		
ENSG00000283226	100288687	
ENSG00000280714		OLA1P1
ENSG00000280705		
ENSG00000281908		
ENSG00000281004		CYP2D8P
ENSG00000280467	6942	TCF20
ENSG00000282081	105370757	
ENSG00000282555	100131315	
ENSG00000281757		
ENSG00000282046	26585	GREM1
ENSG00000283465	653073	GOLGA8J
ENSG00000282088	1139	
ENSG00000282276	89839	
ENSG00000283589	643699	GOLGA8N
ENSG00000282168	9824	ARHGAP11A
ENSG00000280905	1565	CYP2D6
ENSG00000281387		
ENSG00000281436		CYP2D8P
ENSG00000281897	6942	TCF20
ENSG00000281465		
ENSG00000281478		
ENSG00000283135		RN7SKP178
ENSG00000283134		
ENSG00000283315		
ENSG00000282856		
ENSG00000282962	441009	CPEB2-AS1
ENSG00000282934		
ENSG00000283109		
ENSG00000283124		LINC01355
ENSG00000282938		
ENSG00000283030	1447	CSN2
ENSG00000283119		
ENSG00000283032		OLA1P1
ENSG00000283185		PRAMEF28
ENSG00000283089		
ENSG00000282919		OLA1P1
ENSG00000282969		
ENSG00000283425	101929983	PRAMEF27
ENSG00000282884		CYP2D8P
ENSG00000282838	10942	PRSS21
ENSG00000282833	221692	PHACTR1
ENSG00000283348	441873	PRAMEF25
ENSG00000283026	6942	TCF20
ENSG00000282891	6779	STATH
ENSG00000282984	6905	TBCE
ENSG00000282966	1565	CYP2D6
ENSG00000283292	649330	HNRNPCL3
ENSG00000282958	10236	HNRNPR
ENSG00000283661		PRAMEF34P
ENSG00000283410		PRAMEF35P
ENSG00000282983		
ENSG00000283370	440563	HNRNPCL2
ENSG00000283543		PRAMEF36P
ENSG00000282837		
ENSG00000283624		
ENSG00000282967	3347	HTN3
ENSG00000283022	54768	HYDIN
ENSG00000283216	645359	PRAMEF26
ENSG00000282845		EIF1P4
ENSG00000283087	132864	CPEB2
ENSG00000283231	101060301	HNRNPCL4
ENSG00000283056	124220	ZG16B
ENSG00000283139	343070	PRAMEF9
ENSG00000283565		PRAMEF31P
ENSG00000283150	343068	PRAMEF5
ENSG00000283650		PRAMEF32P
ENSG00000283046	3346	HTN1
ENSG00000202250		RNU6-443P
ENSG00000202250		RNU6-771P
ENSG00000283006		
ENSG00000283070	124221	PRSS30P
ENSG00000282979		
ENSG00000282874		
ENSG00000283387	391002	PRAMEF8
ENSG00000282848	23026	MYO16
ENSG00000283112		
ENSG00000283049		
ENSG00000283090	286828	CSN1S2AP
ENSG00000282937	64063	PRSS22
ENSG00000283478	653619	PRAMEF15
ENSG00000282862		RPS21P1
ENSG00000283009	80818	ZNF436
ENSG00000283008		CYP2D7
ENSG00000282868	401137	PRR27
ENSG00000283248		PRAMEF33P
ENSG00000283488	653606	
ENSG00000283106		ZNF436-AS1
ENSG00000282880	148789	B3GALNT2
ENSG00000282829		
ENSG00000283012		
ENSG00000282941	6920	TCEA3
ENSG00000282513	342184	FMN1
ENSG00000282918		MTCYBP14
ENSG00000283066		MTND6P14
ENSG00000283014		MTND5P19
ENSG00000282824		MTND4P10
ENSG00000282857		MTND4LP21
ENSG00000283116		MTND3P8
ENSG00000282999		MTCO3P46
ENSG00000283105		
ENSG00000282903	101929095	
ENSG00000282926		CYP2D8P
ENSG00000282972	2786	GNG4
ENSG00000283019		
ENSG00000282892	6942	TCF20
ENSG00000282410		
ENSG00000283017	23085	ERC1
ENSG00000283670		
ENSG00000283015		
ENSG00000282854	55616	ASAP3
ENSG00000282932	5789	PTPRD
ENSG00000282830	794	CALB2
ENSG00000282981		
ENSG00000282945	55783	CMTR2
ENSG00000282841	64693	CTAGE1
ENSG00000283107		
ENSG00000282839		RPS4XP18
ENSG00000282899	1870	E2F2
ENSG00000283079		LINC01515
ENSG00000282990		
ENSG00000283060	3399	ID3
ENSG00000282942		RPS26P3
ENSG00000283510	54891	INO80D
ENSG00000283129		
ENSG00000283687		
ENSG00000283641		
ENSG00000283192		
ENSG00000283244		
ENSG00000283630	2483	FRG1
ENSG00000283284	1565	CYP2D6
ENSG00000283397		MLLT10P2
ENSG00000283437		
ENSG00000283655		TUBB7P
ENSG00000283308		RNA5SP174
ENSG00000283282		RNA5SP175
ENSG00000283184		DUX4L9
ENSG00000283250		RARRES2P4
ENSG00000283570		DUX4L8
ENSG00000283353		
ENSG00000283358		
ENSG00000283642		
ENSG00000283424		
ENSG00000283466		
ENSG00000283470		
ENSG00000283322		
ENSG00000283144		
ENSG00000283362		
ENSG00000283261		
ENSG00000283520		
ENSG00000283548	100288687	
ENSG00000283600		
ENSG00000283173		
ENSG00000281053		
ENSG00000281266		
ENSG00000283628		CYP2D8P
ENSG00000283681	6942	TCF20
ENSG00000283447	4719	NDUFS1
ENSG00000283140		
ENSG00000283373		
ENSG00000283260		
ENSG00000283168		GCSHP3
ENSG00000283391	1933	EEF1B2
ENSG00000283254		
ENSG00000283323		
ENSG00000283671		SNORD51
ENSG00000283482	619569	SNORA41
ENSG00000283448	2825	GPR1
ENSG00000283643	101669764	GPR1-AS
ENSG00000283395		RN7SKP200
ENSG00000283357		HMGN1P6
ENSG00000281402		RN7SKP260
ENSG00000283649	57683	ZDBF2
ENSG00000283596		
ENSG00000283169		
ENSG00000283305		HNRNPA1P51
ENSG00000210049		MT-TF
ENSG00000211459		MT-RNR1
ENSG00000210077		MT-TV
ENSG00000210082		MT-RNR2
ENSG00000209082		MT-TL1
ENSG00000198888	4535	MT-ND1
ENSG00000210100		MT-TI
ENSG00000223795		
ENSG00000210107		MT-TQ
ENSG00000210112		MT-TM
ENSG00000198763	4536	MT-ND2
ENSG00000253735		
ENSG00000210117		MT-TW
ENSG00000259727		
ENSG00000210127		MT-TA
ENSG00000210135		MT-TN
ENSG00000210140		MT-TC
ENSG00000210144		MT-TY
ENSG00000198804	4512	MT-CO1
ENSG00000210151		MT-TS1
ENSG00000210154		MT-TD
ENSG00000198712	4513	MT-CO2
ENSG00000210156		MT-TK
ENSG00000253334		
ENSG00000241965		RPS2P25
ENSG00000228253	4509	MT-ATP8
ENSG00000225166	102724849	
ENSG00000234285		GAPDHP49
ENSG00000198899	4508	MT-ATP6
ENSG00000249153		
ENSG00000231942		HNRNPA1P36
ENSG00000188152	441457	NUTM2G
ENSG00000261335	105274304	
ENSG00000189229		
ENSG00000276886	26585	GREM1
ENSG00000232187		FTH1P7
ENSG00000198938	4514	MT-CO3
ENSG00000235165		CDK5PS
ENSG00000269374		
ENSG00000210164		MT-TG
ENSG00000198840	4537	MT-ND3
ENSG00000276253		
ENSG00000213176		RPL13P6
ENSG00000264633	100422952	MIR4271
ENSG00000210174		MT-TR
ENSG00000189139	84075	FSCB
ENSG00000267250		
ENSG00000267152		
ENSG00000212907	4539	MT-ND4L
ENSG00000280671		
ENSG00000200530		SNORD35B
ENSG00000198886	4538	MT-ND4
ENSG00000207500	26771	SNORD102
ENSG00000210176		MT-TH
ENSG00000264158	100616351	MIR4670
ENSG00000210184		MT-TS2
ENSG00000210191		MT-TL2
ENSG00000233277	105372626	
ENSG00000280544		
ENSG00000174038	138724	C9orf131
ENSG00000198786	4540	MT-ND5
ENSG00000275821	135927	C7orf34
ENSG00000222472		RN7SKP7
ENSG00000231836		LINC01149
ENSG00000222445		RN7SKP56
ENSG00000198695	4541	MT-ND6
ENSG00000222418		RNA5SP113
ENSG00000210194		MT-TE
ENSG00000252760		RNA5SP54
ENSG00000279499		
ENSG00000198727	4519	MT-CYB
ENSG00000223012		RN7SKP264
ENSG00000241082		RN7SL259P
ENSG00000210195		MT-TT
ENSG00000273009		
ENSG00000252182		RNA5SP413
ENSG00000210196		MT-TP
ENSG00000278420	102465491	MIR6819
ENSG00000199634		RNU4-79P
ENSG00000252830		
ENSG00000207249		
ENSG00000200372		RNU5E-8P
ENSG00000207241	26805	SNORD45A
ENSG00000275283		
ENSG00000278050		
ENSG00000280496	677824	SNORA17B
ENSG00000266653		
ENSG00000202245		RNU6-728P
ENSG00000251861		
ENSG00000223142		RN7SKP252
ENSG00000206776		
ENSG00000260701		
ENSG00000184203	5504	PPP1R2
ENSG00000207161		
ENSG00000201709		RNU6-686P
ENSG00000117650	4751	NEK2
ENSG00000084090	56910	STARD7
ENSG00000222874		RN7SKP33
ENSG00000260922		
ENSG00000278357		
ENSG00000238698		RNU7-147P
ENSG00000226348		VN2R10P
ENSG00000200407		RNU6-1169P
ENSG00000274005	6203	
ENSG00000199514		RNU6-235P
ENSG00000223023		
ENSG00000111802	51567	TDP2
ENSG00000200555		RNU6-525P
ENSG00000264153	677820	SNORA38
ENSG00000276788	9302	SNORD26
ENSG00000264379		
ENSG00000273596		
ENSG00000274008		
ENSG00000207359		RNU6-925P
ENSG00000207762	574409	MIR329-2
ENSG00000207402		RNU6-959P
ENSG00000199282		
ENSG00000206920		RNY1P6
ENSG00000202041		
ENSG00000199415		RNA5SP370
ENSG00000239189		RNU6-634P
ENSG00000200680	100033441	SNORD115-4
ENSG00000264358	100422947	MIR3122
ENSG00000276221	102466874	MIR8057
ENSG00000202144		
ENSG00000201523		RNA5SP205
ENSG00000248911		
ENSG00000276769	102465450	MIR6752
ENSG00000265559		RN7SL652P
ENSG00000208023	406961	MIR185
ENSG00000233427		
ENSG00000163291	152559	PAQR3
ENSG00000243215	3108	HLA-DMA
ENSG00000252532		RNU7-193P
ENSG00000207209		
ENSG00000283291		
ENSG00000265164	100616110	MIR2681
ENSG00000267665		
ENSG00000201388		
ENSG00000266191		
ENSG00000275293		
ENSG00000275117	26121	PRPF31
ENSG00000201813		RNU6-915P
ENSG00000238906		
ENSG00000249515		
ENSG00000263892	100616214	MIR4667
ENSG00000264974	100616395	MIR4789
ENSG00000207944	693159	MIR574
ENSG00000248928		
ENSG00000200163	100033456	SNORD115-18
ENSG00000199550		
ENSG00000249963		EEF1A1P20
ENSG00000274799		
ENSG00000267640		
ENSG00000212024	100616354	MIR550A3
ENSG00000270230		MTND6P22
ENSG00000276823		
ENSG00000252460		RNU6-635P
ENSG00000252420		
ENSG00000256494		
ENSG00000201271		RNU1-112P
ENSG00000252319		
ENSG00000239580		RN7SL675P
ENSG00000206649		
ENSG00000280427		
ENSG00000273573		
ENSG00000278108	102466193	MIR6757
ENSG00000278086	105369139	
ENSG00000252262		RNA5SP61
ENSG00000240322		RN7SL481P
ENSG00000221598	100302149	MIR1249
ENSG00000212411		
ENSG00000197863	388536	ZNF790
ENSG00000257456		
ENSG00000207516		
ENSG00000283502		
ENSG00000237952		RPL7AP73
ENSG00000200708		RN7SKP93
ENSG00000276296	29844	TFPT
ENSG00000275877		
ENSG00000224466		CDCA4P2
ENSG00000201006		
ENSG00000251830		
ENSG00000253233		
ENSG00000223026		RN7SKP247
ENSG00000263896		
ENSG00000273961		
ENSG00000200003		RNU6-986P
ENSG00000253028		
ENSG00000212219		RNU6-604P
ENSG00000252667		RNA5SP523
ENSG00000201701		
ENSG00000232268	390037	OR52I1
ENSG00000238723		
ENSG00000206970		RNU6-474P
ENSG00000253040		RNA5SP454
ENSG00000275006		
ENSG00000206972		RNU6-17P
ENSG00000199459		
ENSG00000278190		
ENSG00000207306		RNU6-1152P
ENSG00000170923	390882	OR7G2
ENSG00000200089	767612	SNORD114-31
ENSG00000207430		
ENSG00000276100		
ENSG00000254027		
ENSG00000202186		RNU6-497P
ENSG00000264725	100422908	MIR3129
ENSG00000222436		RN7SKP278
ENSG00000222796		RNU6-383P
ENSG00000274901		
ENSG00000206905		
ENSG00000212147		RNU6-1106P
ENSG00000252474		RNU6-539P
ENSG00000276563		
ENSG00000243011		RN7SL266P
ENSG00000266187		RN7SL480P
ENSG00000231057		
ENSG00000251761		RNU6-138P
ENSG00000244501		RN7SL623P
ENSG00000115425	55825	PECR
ENSG00000238632		RNU7-126P
ENSG00000206767		RNU6-949P
ENSG00000242688		RN7SL304P
ENSG00000252410		RNU5B-3P
ENSG00000206637		
ENSG00000238485		
ENSG00000277512	692106	SNORD65
ENSG00000176142	55254	TMEM39A
ENSG00000222451		RN7SKP143
ENSG00000238808		RNU7-102P
ENSG00000202357		
ENSG00000222990		RNU4-22P
ENSG00000199872		RNU6-942P
ENSG00000200563		RNU6-640P
ENSG00000277667	147798	TMC4
ENSG00000083814	79891	ZNF671
ENSG00000207347		RNU6-306P
ENSG00000212595		
ENSG00000266166		RN7SL557P
ENSG00000273913		
ENSG00000201860		
ENSG00000201390		RNU6-1141P
ENSG00000253088		
ENSG00000252889		RNU6-1236P
ENSG00000200120		
ENSG00000212347		
ENSG00000222544		RNU6-735P
ENSG00000268392		
ENSG00000239190		RNU6-717P
ENSG00000239504		RN7SL583P
ENSG00000239021		RNA5SP246
ENSG00000274975	102465440	MIR6735
ENSG00000265420	100616159	MIR4779
ENSG00000275775		
ENSG00000207633	574508	MIR505
ENSG00000225528		
ENSG00000207960	406945	MIR153-2
ENSG00000207932	407039	MIR33A
ENSG00000276706		
ENSG00000265867	100616258	MIR4516
ENSG00000263468		
ENSG00000279287		
ENSG00000260038		
ENSG00000222440		RNU2-26P
ENSG00000199609		RNA5SP124
ENSG00000265112	100422936	MIR3153
ENSG00000266610		RN7SL176P
ENSG00000266194	100616245	MIR4661
ENSG00000243801		RN7SL461P
ENSG00000264105	100500881	MIR3688-1
ENSG00000202513		RNU6-805P
ENSG00000234111	340017	
ENSG00000272055		RNU6-6P
ENSG00000252115		
ENSG00000252717		RNU6-352P
ENSG00000276918		
ENSG00000277887	677842	SNORA50C
ENSG00000264881	100422970	MIR1273D
ENSG00000212441		RNU6-1269P
ENSG00000237222	100507391	
ENSG00000236956		NF1P8
ENSG00000264720	100422871	MIR3117
ENSG00000208024	406977	MIR199A2
ENSG00000201143	100033816	SNORD115-42
ENSG00000283203	100302142	MIR1246
ENSG00000207963	693154	MIR569
ENSG00000271817		
ENSG00000199470		
ENSG00000202351		RN7SKP204
ENSG00000277136		
ENSG00000207369		RNU6-665P
ENSG00000201033		RNU1-96P
ENSG00000262132		RNA5SP458
ENSG00000241552		RN7SL58P
ENSG00000265738		
ENSG00000222594		RN7SKP235
ENSG00000244642		RN7SL396P
ENSG00000202198		RN7SK
ENSG00000207076		RNU6-1113P
ENSG00000272020		RNU1-30P
ENSG00000279183		
ENSG00000239595		RN7SL79P
ENSG00000273927		
ENSG00000280127		
ENSG00000200728		RNU6-271P
ENSG00000206709		RNU6-1080P
ENSG00000221394	100302156	MIR1229
ENSG00000252204		
ENSG00000120341	89866	SEC16B
ENSG00000222419		RNA5SP511
ENSG00000199570		RNU6-228P
ENSG00000252080		RNU7-99P
ENSG00000222636		RN7SKP54
ENSG00000266758	100847041	MIR3680-2
ENSG00000265376	100423038	MIR466
ENSG00000238390		
ENSG00000265253	100616476	MIR4446
ENSG00000252383		RNU6-314P
ENSG00000200774		RNU6-478P
ENSG00000277577		
ENSG00000240905		RN7SL798P
ENSG00000221768	100302147	MIR1302-7
ENSG00000252368		RNA5SP43
ENSG00000273882	102465868	MIR8066
ENSG00000206651		
ENSG00000206834	677792	SNORA1
ENSG00000199102	442895	MIR302C
ENSG00000252594		RNU6-656P
ENSG00000277004		RNA5SP412
ENSG00000200883		
ENSG00000275022	102465451	MIR6753
ENSG00000211538	574503	MIR501
ENSG00000200656	677795	SNORA5B
ENSG00000274232	3805	KIR2DL4
ENSG00000244080		RN7SL833P
ENSG00000265444	100616266	MIR4733
ENSG00000252231		RNA5SP67
ENSG00000241291		RN7SL791P
ENSG00000199204		
ENSG00000200632	767567	SNORD113-7
ENSG00000266559	100616163	MIR4530
ENSG00000264823	100422893	MIR3154
ENSG00000276493		
ENSG00000199929		RNA5SP405
ENSG00000265326		
ENSG00000221375		RNU6ATAC23P
ENSG00000275273	102466195	MIR6780A
ENSG00000233076	23564	DDAH2
ENSG00000265635	100500817	MIR3612
ENSG00000273544	677825	SNORA44
ENSG00000206698		RNU1-73P
ENSG00000223224	692111	SNORD71
ENSG00000238387		
ENSG00000206911		
ENSG00000233263		
ENSG00000244091		RN7SL483P
ENSG00000252833		RNA5SP186
ENSG00000258633		
ENSG00000207637	693180	MIR595
ENSG00000279654		
ENSG00000201710		
